date,circulating_supply_at_that_date,block_timestamp_at_that_date,total_claimed_that_day
08/05/2024,63529.57908897149,1715169707,13047.475558672762
08/05/2024,63536.57027311866,1715169707,13054.466742819932
08/05/2024,64151.5744984299,1715169707,13669.47096813117
08/05/2024,64211.40714992091,1715169707,13729.303619622178
08/05/2024,64310.26007071949,1715169707,13828.156540420756
08/05/2024,64512.82133233437,1715169707,14030.717802035642
08/05/2024,64513.572202254494,1715169707,14031.468671955765
08/05/2024,64513.57229773098,1715169707,14031.468767432249
08/05/2024,64666.194911652514,1715169707,14184.091381353783
08/05/2024,64769.21286280461,1715169707,14287.109332505881
08/05/2024,65239.18798636795,1715169707,14757.084456069219
08/05/2024,65617.03978066407,1715169707,15134.93625036533
08/05/2024,65639.75821080783,1715169707,15157.654680509098
08/05/2024,65666.76358753744,1715169707,15184.660057238698
08/05/2024,65872.93031815985,1715169719,15390.826787861113
